Image,Class,Confidence,X1,Y1,X2,Y2
1.jpg,panel,0.892,400.83,138.55,615.68,576.03
1.jpg,panel,0.87,189.08,133.28,392.6,607.57
10.jpg,cracked,0.952,0.0,0.53,639.29,639.55
11.jpg,cracked,0.945,0.82,0.47,639.86,639.8
12.jpg,cracked,0.964,162.3,0.67,478.63,639.62
13.jpg,cracked,0.59,355.4,65.33,458.24,179.1
14.jpg,panel,0.946,72.97,158.89,410.39,386.55
14.jpg,cracked,0.487,328.17,317.2,376.66,355.22
14.jpg,cracked,0.462,234.25,259.86,262.37,282.9
14.jpg,cracked,0.449,136.13,298.64,192.2,340.93
14.jpg,cracked,0.373,228.26,199.18,262.68,237.29
14.jpg,cracked,0.29,222.97,189.35,265.39,237.95
15.jpg,panel,0.943,70.25,155.45,412.25,384.8
15.jpg,cracked,0.474,329.68,314.79,373.76,352.94
15.jpg,cracked,0.46,230.31,256.39,259.66,280.23
15.jpg,cracked,0.438,129.66,291.53,184.84,337.85
15.jpg,cracked,0.39,325.99,310.63,377.59,357.57
15.jpg,cracked,0.365,225.49,186.98,264.02,234.7
15.jpg,cracked,0.339,230.04,198.64,260.38,233.13
15.jpg,cracked,0.339,131.07,291.99,175.81,331.09
2.jpg,panel,0.892,5.14,124.44,634.38,632.7
2.jpg,dusty,0.273,4.06,124.06,244.29,554.0
3.jpg,panel,0.82,63.19,127.25,621.48,514.85
4.jpg,panel,0.929,161.8,238.01,525.86,475.11
5.jpg,panel,0.843,353.61,49.03,516.67,551.95
5.jpg,panel,0.543,62.02,28.53,298.63,592.1
5.jpg,dusty,0.404,55.14,30.01,297.68,580.28
6.jpg,cracked,0.985,1.25,59.32,639.36,578.71
7.jpg,cracked,0.973,31.6,0.21,612.14,638.8
8.jpg,cracked,0.928,0.0,0.0,640.0,639.94
9.jpg,cracked,0.98,4.33,3.93,640.0,634.63
